symbol,current_price,return_on_equity,return_on_assets,debt_to_equity,current_ratio,quick_ratio,revenue,ebitda,free_cash_flow,previous_close,open,day_high,day_low,fifty_two_week_high,fifty_two_week_low,fifty_two_week_change,volume,average_volume,market_cap,beta,dividend_yield,dividend_rate,ex_dividend_date,long_name,summary,environmental,social,governance,highest_controversy,esg_score,peer_count,peer_group,rating_year,rating_month,adult,animal_testing,gambling,small_arm,furLeather,coal,controversial_weapons,tobacco
APD,270.5,0.095790006,0.047020003,98.527,0.996,0.77,12020700160,4304699904.0,-3988649984.0,275.38,276.05,276.251,270.47,341.14,243.69,,2045843,1231448,60198150144,0.873,0.026500002,7.16,2025-07-01 01:00:00,"Air Products and Chemicals, Inc.","Air Products and Chemicals, Inc. provides atmospheric gases, process and specialty gases, equipment, and related services in the Americas, Asia, Europe, the Middle East, India, and internationally. The company produces atmospheric gases, including oxygen, nitrogen, and argon; process gases, such as hydrogen, helium, carbon dioxide, carbon monoxide, and syngas; and specialty gases for customers in various industries, including refining, chemical, manufacturing, electronics, energy production, medical, food, and metals. It also designs and manufactures equipment for air separation, hydrocarbon recovery and purification, natural gas liquefaction, and liquid helium and liquid hydrogen transport and storage. The company was founded in 1940 and is headquartered in Allentown, Pennsylvania.",,3.44,2.94,1.0,14.83,183.0,Chemicals,2025.0,6.0,False,False,False,False,False,False,False,False
ABNB,131.73,0.3206,0.06276,28.726,1.273,0.697,11232000000,2532000000.0,3194249984.0,132.17,132.27,132.64,131.39,163.93,99.88,,7967985,5769875,81305460736,1.144,,,,"Airbnb, Inc.","Airbnb, Inc., together with its subsidiaries, operates a platform that enables hosts to offer stays and experiences to guests worldwide. Its marketplace connects hosts and guests online or through mobile devices to book spaces and experiences. It also offers gift cards. The company was formerly known as AirBed & Breakfast, Inc. and changed its name to Airbnb, Inc. in November 2010. Airbnb, Inc. was founded in 2007 and is headquartered in San Francisco, California.",,13.51,8.28,2.0,23.08,585.0,Software & Services,2025.0,6.0,False,False,False,False,False,False,False,False
AKAM,78.38,0.09821,0.03916,100.746,1.178,1.032,4019336960,1124982016.0,514483488.0,78.7,78.7,79.31,77.62,106.8,67.51,,4791354,2436848,11156295680,0.769,,,,"Akamai Technologies, Inc.","Akamai Technologies, Inc. engages in the provision of security, delivery, and cloud computing solutions in the United States and internationally. The company offers security solutions that include web application and application programming interfaces (API) protection solutions, which protect web, API, and mobile app traffic from attacks; Bot & Abuse portfolio, which provides solutions to help customers protect against threats; Akamai Account Protector, which offers full account lifecycle protections including the ability to defend against account takeover and opening abuse, adversarial bot protection, protection against credential stuffing, inventory scalping, and hoarding; Akamai Content Protector, which provides solutions designed to stop persistent scrapers from stealing content; API security, which discovers, audits, and monitors API; and microservice and application component protection that analyzes and protects application traffic that moves between application components. It also offers cloud computing services, which include compute, storage, networking, database, and container management services; and Akamai App Platform, provides ready-to-run templates that address challenges in deploying, managing and scaling Kubernetes clusters at scale. In addition, the company offers delivery solutions that include web and mobile performance solutions, which enables dynamic websites and applications, as well as global traffic management, site acceleration, application load balancing, large-scale load testing, and real-user monitoring; and media delivery solutions, including video streaming and video player services, game and software delivery, broadcast operations, authoritative domain name system, resolution, and data and analytics. Akamai Technologies, Inc. was incorporated in 1998 and is headquartered in Cambridge, Massachusetts.",,8.4,3.75,1.0,15.61,585.0,Software & Services,2025.0,6.0,False,False,False,False,False,False,False,False
ALB,56.66,-0.09992,-0.01509,35.757,2.112,1.196,5093670912,191592992.0,-349651872.0,59.4,59.49,59.83,56.6536,113.91,49.43,,3793533,3520533,6666672128,1.614,0.0286,1.62,2025-06-13 01:00:00,Albemarle Corporation,"Albemarle Corporation provides energy storage solutions worldwide. It operates through three segments: Energy Storage, Specialties, and Ketjen. The Energy Storage segment offers lithium compounds, including lithium carbonate, lithium hydroxide, and lithium chloride for use in lithium batteries used in consumer electronics and electric vehicles, power grids and solar panels, high performance greases, specialty glass used in consumer appliances and electronics, organic synthesis processes in the areas of steroid chemistry and vitamins, and various life science applications, as well as intermediates in the pharmaceutical industry; technical services, including handling and use of reactive lithium products; and recycling services for lithium-containing by-products. The Specialties segment provides bromine and highly specialized lithium solutions for various industries, such as energy, mobility, connectivity, and health comprising fire safety compounds; bromine-based specialty chemicals products, including elemental bromine, alkyl bromides, inorganic bromides, brominated powdered activated carbon, and various bromine fine chemicals; lithium specialties, such as butyllithium and lithium aluminum hydride; cesium products for the chemical and pharmaceutical industries; and zirconium, barium, and titanium products for pyrotechnical applications that include airbag initiators. The Ketjen segment offers clean fuels technologies, including hydroprocessing catalysts together with isomerization and akylation catalysts; fluidized catalytic cracking catalysts and additives; and performance catalyst solutions comprising organometallics and curatives. It serves grid storage, automotive, aerospace, conventional energy, electronics, construction, agriculture and food, pharmaceuticals and medical device industries. Albemarle Corporation was founded in 1887 and is headquartered in Charlotte, North Carolina.",,3.79,4.49,2.0,20.11,183.0,Chemicals,2025.0,6.0,False,False,False,False,False,False,False,False
ARE,71.37,0.01476,0.013040001,61.193,3.381,2.868,3111841024,1971954944.0,1259089792.0,70.88,71.35,72.1964,71.115,130.14,67.37,,3294664,1799070,12346224640,1.267,0.074,5.28,2025-06-30 01:00:00,"Alexandria Real Estate Equities, Inc.","Alexandria Real Estate Equities, Inc. (NYSE: ARE), an S&P 500 company, is a best-in-class, mission-driven life science REIT making a positive and lasting impact on the world. With our founding in 1994, Alexandria pioneered the life science real estate niche. Alexandria is the preeminent and longest-tenured owner, operator, and developer of collaborative Megacampus ecosystems in AAA life science innovation cluster locations, including Greater Boston, the San Francisco Bay Area, San Diego, Seattle, Maryland, Research Triangle, and New York City. As of March 31, 2025, Alexandria has a total market capitalization of $28.8 billion and an asset base in North America that includes 39.6 million RSF of operating properties and 4.0 million RSF of Class A/A+ properties undergoing construction. Alexandria has a longstanding and proven track record of developing Class A/A+ properties clustered in highly dynamic and collaborative Megacampus environments that enhance our tenants' ability to successfully recruit and retain world-class talent and inspire productivity, efficiency, creativity, and success. Alexandria also provides strategic capital to transformative life science companies through our venture capital platform. We believe our unique business model and diligent underwriting ensure a high-quality and diverse tenant base that results in higher occupancy levels, longer lease terms, higher rental income, higher returns, and greater long-term asset value.",,3.69,6.67,1.0,13.21,509.0,Real Estate,2025.0,6.0,False,False,False,False,False,False,False,False
ALGN,181.79,0.108430006,0.06719,3.124,1.206,0.989,3980843008,810150976.0,630043904.0,180.01,182.22,183.97,180.56,263.24,141.74,,1282921,1100361,13177011200,1.64,,,,"Align Technology, Inc.","Align Technology, Inc. designs, manufactures, and markets Invisalign clear aligners, Vivera retainers, and iTero intraoral scanners and services in the United States, Switzerland, and internationally. The Clear Aligner segment offers comprehensive products, including Invisalign comprehensive package to treat adults and teens from mild to severe malocclusion and features, and orthodontic needs of teenage or younger patients; and Invisalign First Phase I and Invisalign First Comprehensive Phase 2 package for younger patients generally between the ages of six and ten years with a mixture of primary/baby and permanent teeth. This segment also provides Invisalign express, Invisalign lite, and Invisalign moderate; as well as Invisalign Go, Invisalign Go express, and Invisalign Go Plus; retention products, Invisalign training, adjusting tools used by dental professionals during treatment, ancillary Invisalign accessory products, and other oral health products; Invisalign Professional Whitening system; Invisalign Palatal Expander, a 3D printed orthodontic device; and 3D printing solutions. The Imaging Systems and CAD/CAM Services segment offers iTero intraoral scanning system, a single hardware platform for restorative or orthodontic procedures; exocad, a computer-aided design and computer-aided manufacturing (CAD/CAM) software; orthodontist software for digital records storage, orthodontic diagnosis, and fabrication of printed models and retainers; and restorative software for general practitioner dentists, prosthodontists, periodontists, and oral surgeons. This segment also provides Invisalign outcome simulator, a chair-side and cloud-based application for the iTero scanner; Invisalign progress assessment tool; Align Oral Health Suite, a digital interface for dental consultations; iTero TimeLapse technology for doctors or practitioners to compare a patient's historic 3D scans to the present-day scan; and subscription software, disposables, rents scanners, and pay per scan services. The company was incorporated in 1997 and is headquartered in Tempe, Arizona.",,9.59,6.04,1.0,18.25,309.0,Healthcare,2025.0,6.0,False,False,False,False,False,False,False,False
ALLE,137.63,0.42051998,0.11533,133.636,2.174,1.43,3820199936,922300032.0,520400000.0,136.8,137.81,138.84,136.54,156.1,113.27,,1998394,1022672,11842965504,1.035,0.0148,2.04,2025-06-13 01:00:00,Allegion plc,"Allegion plc engages in the provision of security products and solutions worldwide. The company offers door controls, door control system, and exit devices; doors, glass and door systems, and accessories; electronic security products and access control systems, including time, attendance, and workforce productivity; and locks, locksets, portable locks, and key systems. It also provides services and software, such as inspection, maintenance, and repair services for its automatic entrance solutions; software as a service, including access control, platform integration, and workforce management solutions; and ongoing aftermarket services, design and installation offerings, and locksmith offerings. In addition, the company sells its products and solutions to end-users in commercial, institutional, and residential facilities, including education, healthcare, government, hospitality, retail, commercial office, and single and multi-family residential markets under the CISA, Interflex, LCN, Schlage, SimonsVoss, and Von Duprin brands. It sells its products and solutions through distribution and retail channels, such as specialty distribution, e-commerce, and wholesalers, as well as through various retail channels comprising do-it-yourself home improvement centers, online and e-commerce platforms, and small specialty showroom outlets. The company was incorporated in 2013 and is based in Dublin, Ireland.",,5.3,3.58,0.0,20.84,72.0,Building Products,2025.0,6.0,False,False,False,False,False,False,False,False
LNT,60.54,0.10712,0.02735,149.852,0.336,0.134,4078000128,1759000064.0,-1070000000.0,60.01,60.18,60.91,59.91,66.54,50.01,,2577690,2097220,15551272960,0.576,0.0335,2.03,2025-04-30 01:00:00,Alliant Energy Corporation,"Alliant Energy Corporation operates as a utility holding company that provides regulated electric and natural gas services in the United States. It operates through IPL and WPL segments. The company, through its subsidiary, Interstate Power and Light Company (IPL), engages primarily in the generation and distribution of electricity and the distribution and transportation of natural gas to retail customers in select markets in Iowa. This segment also sells electricity to wholesale customers in Minnesota, Illinois and Iowa; and generates and distributes steam for two customers in Cedar Rapids, Iowa. Alliant Energy Corporation, through its other subsidiary, Wisconsin Power and Light Company (WPL), generates and distributes electricity, and distributes and transports natural gas to retail customers in select markets in Wisconsin; and sells electricity to wholesale customers in Wisconsin. It serves retail customers in the farming, agriculture, industrial manufacturing, chemical, packaging, and food industries, as well as wholesale customers comprising municipalities and rural electric cooperatives. In addition, the company owns and operates a short-line rail freight service in Iowa; a Mississippi River barge, rail, and truck freight terminal in Illinois; freight brokerage services; wind turbine blade recycling services; and a rail-served warehouse in Iowa. Further, it holds interests in a natural gas-fired electric generating unit near Sheboygan Falls, Wisconsin; and a wind farm located in Oklahoma. The company was formerly known as Interstate Energy Corp. and changed its name to Alliant Energy Corporation in May 1999. Alliant Energy Corporation is headquartered in Madison, Wisconsin.",,6.51,4.36,1.0,21.93,234.0,Utilities,2025.0,6.0,False,False,False,False,False,False,False,False
ALL,195.33,0.19723,0.03111,36.672,0.437,0.244,65299001344,6040999936.0,4154874880.0,195.67,196.07,198.41,195.2,213.18,157.48,,3101538,1607211,51726901248,0.345,0.020499999,4.0,2025-06-09 01:00:00,The Allstate Corporation,"The Allstate Corporation, together with its subsidiaries, provides property and casualty, and other insurance products in the United States and Canada. It operates in five segments: Allstate Protection; Run-off Property-Liability; Protection Services; Allstate Health and Benefits; and Corporate and Other. The company offers private passenger auto, homeowners, personal lines, and commercial insurance products through agents, contact centers, and online; and property and casualty insurance products. It also provides consumer product protection plans, device and mobile data collection services, and analytic solutions using automotive telematics information, roadside assistance, and protection plans; and insurance products, such as identity protection and restoration through Allstate Protection Plans, Allstate Dealer Services, Allstate Roadside, Arity, and Allstate Identity Protection brands. In addition, the company offers life, accident, critical illness, hospital indemnity, short-term disability, and other health insurance products; self-funded stop-loss and fully insured group health products to employers; medicare supplement, ancillary products, and short-term medical insurance to individuals through independent agents, owned agencies, benefits brokers, and Allstate exclusive agents. Further, it offers automotive protection; vehicle service contracts, guaranteed asset protection, road hazard tires and wheels, and paintless dent repair protection; and roadside assistance, mobility data collection services, and analytic solutions using automotive telematics information, identity theft protection, and remediation services. The Allstate Corporation was founded in 1931 and is headquartered in Northbrook, Illinois.",,12.59,10.8,2.0,24.68,186.0,Insurance,2025.0,6.0,False,False,False,False,False,False,False,False
GOOGL,166.64,0.34789002,0.16896999,8.254,1.768,1.597,359713013760,135705001984.0,60679000064.0,173.32,173.945,174.34,165.46,207.05,140.53,,75659917,40432375,2028092129280,1.014,0.005,0.84,2025-06-09 01:00:00,Alphabet Inc.,"Alphabet Inc. offers various products and platforms in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It operates through Google Services, Google Cloud, and Other Bets segments. The Google Services segment provides products and services, including ads, Android, Chrome, devices, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search, and YouTube. It is also involved in the sale of apps and in-app purchases and digital content in the Google Play and YouTube; and devices, as well as in the provision of YouTube consumer subscription services. The Google Cloud segment offers AI infrastructure, Vertex AI platform, cybersecurity, data and analytics, and other services; Google Workspace that include cloud-based communication and collaboration tools for enterprises, such as Calendar, Gmail, Docs, Drive, and Meet; and other services for enterprise customers. The Other Bets segment sells healthcare-related and internet services. The company was incorporated in 1998 and is headquartered in Mountain View, California.",,11.74,10.21,4.0,24.89,585.0,Software & Services,2025.0,6.0,False,False,False,False,False,False,False,False
